DESCRICAO|CONTA|01/2024|02/2024|03/2024|04/2024|05/2024|06/2024|07/2024|08/2024|09/2024|10/2024|11/2024|12/2024
   Logistica|042208|             100,00|             585,00|           2.426,70|           2.020,00|             879,82|                  0|           1.910,23|           1.692,48|           2.499,87|           1.200,00|             245,00|           7.911,00
   Alimentação Func|042209|           2.806,58|           2.184,00|             622,97|             871,52|           1.371,30|           2.373,21|           2.451,67|           1.723,00|           1.489,87|           1.244,61|           1.817,45|           3.641,39
  Despesas com Tributos e Taxa|0423|       2.217.080,91|       2.866.657,80|       2.379.526,14|       2.595.550,98|       6.032.127,74|       2.817.269,53|       2.653.495,39|       3.148.959,89|       2.803.016,03|       2.879.383,04|       5.874.196,00|       2.733.146,59
   Impostos Federais|042301|         361.068,59|         332.149,00|         122.869,69|         162.087,24|       3.457.767,65|         272.522,35|         232.535,04|         694.098,15|         209.700,57|         264.183,44|       3.117.450,06|         209.281,64
   Impostos Municipais|042303|         899.486,00|         973.333,04|         852.357,45|         917.497,61|         974.471,56|         964.979,03|         961.601,36|         986.301,88|         979.898,83|         938.950,16|       1.048.899,32|         938.033,54
   Cofins|042304|         956.320,08|       1.561.129,74|       1.404.158,53|       1.514.966,92|       1.590.815,34|       1.575.451,76|       1.380.745,73|       1.467.475,33|       1.612.873,73|       1.538.589,43|       1.707.183,97|       1.513.459,11
   Impostos e taxas diversos|042306|                  0|                  0|                  0|                  0|                  0|                  0|          78.537,23|                  0|             100,00|           2.596,00|                  0|                  0
   Impostos-serv exterior|042307|             206,24|              46,02|             140,47|             999,21|           9.073,19|           4.316,39|              76,03|           1.084,53|             442,90|         135.064,01|             662,65|          72.372,30
  Despesas Bancarias|0424|           6.019,16|           8.510,25|          10.087,76|           9.129,28|          11.261,99|           9.811,09|           9.360,09|           7.501,34|           6.127,39|           6.398,72|           6.114,71|           6.874,41
   Tarifa Cobrança|042401|           2.632,18|           2.693,10|           4.356,78|           5.563,59|           6.364,85|           4.151,69|           3.540,14|           3.347,96|           2.838,49|           3.124,18|           2.984,87|           3.175,88
   Tarifa TED - DOC - PIX|042402|             441,47|             397,10|             382,10|             531,83|             483,59|             581,11|             579,30|             466,94|             609,32|             611,56|             487,86|             886,88
   Tarifas Bancárias Diversas|042403|           1.292,01|           1.252,56|           1.235,68|           1.380,36|           1.090,35|             869,49|           1.019,75|           1.023,23|           1.010,58|             994,09|             972,98|           1.173,65
   Tarifa Itaujudice|042404|           1.500,00|           1.500,00|           1.500,00|           1.500,00|           1.500,00|           1.500,00|           1.500,00|           1.500,00|           1.500,00|           1.500,00|           1.500,00|           1.500,00
   Tarifa Cartão de Crédito|042405|             153,50|           2.667,49|           2.613,20|             153,50|           1.823,20|           2.708,80|           2.720,90|           1.163,21|             169,00|             168,89|             169,00|             138,00
  Despesas Financeiras|0425|           2.754,34|           1.148,02|           3.886,87|          16.532,35|          24.534,16|           1.948,22|         107.991,54|           1.457,61|           4.003,65|             452,71|             671,50|          19.264,96
   IRRF s/ Cambio|042501|           1.832,72|                  0|           2.181,96|          15.077,98|          23.310,00|                  0|                  0|                  0|                  0|                  0|                  0|          15.529,40
   IOF s/ Cambio|042502|             431,78|           1.052,96|             137,63|           1.203,62|           1.072,64|           1.948,22|             369,31|           1.457,54|           3.939,65|             452,71|             671,50|           3.488,22
   Tarifa s/cambio|042503|             196,82|                  0|             197,94|             153,62|             151,52|                  0|                  0|                  0|                  0|                  0|                  0|             247,34
   Juros e multa fornecedor|042504|             200,00|              95,06|           1.369,34|              97,13|                  0|                  0|                  0|                ,07|              64,00|                  0|                  0|                  0
   IOF sobre invest financeiros|042508|              93,02|                  0|                  0|                  0|                  0|                  0|                  0|                  0|                  0|                  0|                  0|                  0
   Variação Cambial Passiva|042510|                  0|                  0|                  0|                  0|                  0|                  0|            -105,57|                  0|                  0|                  0|                  0|                  0
   IRRF s/ Mútuo|042512|                  0|                  0|                  0|                  0|                  0|                  0|         107.727,80|                  0|                  0|                  0|                  0|                  0
  Outras Saídas |0426|          23.604,44|           9.858,88|         266.454,88|         149.909,28|          27.222,84|          50.684,67|              88,60|           1.079,80|          95.043,77|          20.714,53|         104.890,42|           1.046,44
   Outros -Dev.Dup/Bloqueio Jud|042603|          16.655,00|                  0|          17.472,19|          34.769,04|              85,00|           6.800,00|                  0|                  0|             990,71|          12.319,47|                  0|                  0
   Outros Adiantamentos|042604|          -4.813,07|          -1.312,02|         223.933,27|          92.888,16|           5.222,46|          43.704,67|             -91,40|           1.079,80|          94.053,06|           8.395,06|         104.890,42|           1.046,44
  Desembolsos Operacionais|0427|       3.839.644,73|       5.784.919,60|       2.979.098,86|       5.009.195,52|       4.616.201,24|      10.818.498,62|       4.539.275,61|      14.232.886,68|       5.615.575,71|       5.083.638,97|       5.234.454,89|       7.686.852,53
   Repasse Detran's |042701|       3.100.541,73|       4.981.863,38|       2.123.886,80|       4.108.874,68|       3.391.962,67|       3.306.908,90|       3.189.512,53|      13.641.729,78|       4.697.555,10|       4.456.260,13|       4.565.972,98|       6.995.774,06
   Custos s/Registros - Consultas|042704|         197.499,65|         234.775,50|         262.761,09|         212.904,62|         269.419,47|         222.907,67|         228.335,20|         261.773,10|         239.130,61|         213.477,70|         261.673,02|         218.787,30
   Despesas a recuperar-Rateios|042705|         217.765,08|         217.765,08|         217.765,08|         217.765,08|         339.349,39|         346.515,52|         387.700,00|          42.336,75|                  0|                  0|                  0|                  0
   Despesas a recuperar - outros|042706|         323.838,27|         350.515,64|         370.124,35|         456.451,14|         355.469,71|         407.277,53|         423.233,79|         287.047,05|         498.196,48|         413.901,14|         406.808,89|         470.929,47
   Custos Espaço Revista|042707|                  0|                  0|           4.561,54|          13.200,00|                  0|                  0|          13.200,00|                  0|          16.260,00|                  0|                  0|           1.361,70
   Repasse sindicatos - CA|042710|                  0|                  0|                  0|                  0|         260.000,00|       6.534.889,00|         297.294,09|                  0|         164.433,52|                  0|                  0|                  0
  Investimentos Outros|0429|          41.714,17|         345.699,74|          18.832,29|         458.548,59|         374.658,15|         355.189,55|       1.926.661,01|         110.231,52|         619.122,82|         777.917,63|         768.963,51|       3.396.027,52
   Imóveis/Benfeitorias|042902|                  0|                  0|                  0|                  0|                  0|                  0|       1.727.013,99|          43.649,95|                  0|                  0|                  0|          68.526,81
   Obras em andamento|042903|          18.770,00|          18.770,00|                  0|         394.953,08|         341.893,05|         323.691,12|         176.744,49|          41.815,23|         585.571,04|         348.574,28|         215.868,77|         531.378,43
   Ativos imobilizados|042904|          22.944,17|         326.929,74|          18.832,29|          63.595,51|          32.765,10|          31.498,43|          22.902,53|          24.766,34|          33.551,78|         429.343,35|         553.094,74|         296.122,28
   Retirada p/Aumento de Capital|042906|                  0|                  0|                  0|                  0|                  0|                  0|                  0|                  0|                  0|                  0|                  0|       2.500.000,00
  MUTUO|0440|                  0|         615.479,71|       1.695.914,62|                  0|                  0|                  0|                  0|                  0|                  0|                  0|                  0|                  0
   Pagamento de mútuo|044001|                  0|         615.479,71|       1.695.914,62|                  0|                  0|                  0|                  0|                  0|                  0|                  0|                  0|                  0
 Resultado Invest. Financeiro|99|       4.310.096,69|       3.621.657,31|       3.769.484,05|       3.597.968,60|       3.752.920,53|       3.408.872,95|       4.296.481,31|       3.956.374,96|       3.647.901,83|       3.727.330,49|       3.206.375,73|       3.134.034,55
  Rendimento CDB|9901|           3.377,32|           2.827,95|           2.961,52|           3.178,32|         267.701,55|           2.866,08|           3.264,50|           3.228,46|           3.149,71|           3.531,43|           3.044,69|           3.581,89
  Rendimento Fundos|9902|       4.306.718,58|       3.618.828,87|       3.766.518,69|       3.594.790,11|       3.485.218,90|       3.406.006,87|       4.293.216,74|       3.953.146,50|       3.644.751,94|       3.723.799,06|       3.203.331,03|       3.130.452,66
  Rendimento Outras Aplicações|9903|                ,79|                ,49|               3,84|                ,17|                ,08|                  0|                ,07|                  0|                ,18|                  0|                ,01|                  0
