Vendedor;Produto;Estado;Mês;Cliente;Valor;Quantidade;Total
Katia;Rodas aro 15";AP;Outubro;Pessoa Jurídica;1020;11;11220
Vanessa;Rodas aro 16";RO;Maio;Pessoa Jurídica;1340;9;12060
Renata;Rodas aro 17";SP;Março;Pessoa Física;1870;7;13090
Caio;Rodas aro 18";DF;Outubro;Pessoa Jurídica;1910;4;7640
Priscila;Rodas aro 19";PA;Fevereiro;Pessoa Física;2240;4;8960
Mirian;Rodas aro 20";GO;Maio;Pessoa Física;2479;2;4958
Murilo;Rodas aro 21";TO;Março;Pessoa Física;3200;2;6400
Roberto;Rodas aro 22";TO;Julho;Pessoa Jurídica;3921;2;7842
Myslaine;Rodas aro 13";MA;Março;Pessoa Jurídica;780;1;780
Katia;Rodas aro 14";PE;Janeiro;Pessoa Jurídica;980;1;980
Vanessa;Rodas aro 15";BA;Fevereiro;Pessoa Física;1020;1;1020
Renata;Rodas aro 16";DF;Novembro;Pessoa Jurídica;1340;108;144720
Caio;Rodas aro 17";RS;Setembro;Pessoa Física;1870;105;196350
Priscila;Rodas aro 18";AC;Dezembro;Pessoa Física;1910;104;198640
Mirian;Rodas aro 19";MT;Novembro;Pessoa Física;2240;104;232960
Murilo;Rodas aro 20";TO;Setembro;Pessoa Jurídica;2479;104;257816
Roberto;Rodas aro 21";PA;Julho;Pessoa Jurídica;3200;102;326400
Myslaine;Rodas aro 22";MG;Junho;Pessoa Jurídica;3921;102;399942
Katia;Rodas aro 13";CE;Julho;Pessoa Física;780;98;76440
Vanessa;Rodas aro 14";DF;Fevereiro;Pessoa Jurídica;980;98;96040
Renata;Rodas aro 15";MG;Outubro;Pessoa Física;1020;95;96900
Caio;Rodas aro 16";PI;Setembro;Pessoa Física;1340;95;127300
Priscila;Rodas aro 17";RR;Maio;Pessoa Física;1870;95;177650
Mirian;Rodas aro 18";SC;Maio;Pessoa Jurídica;1910;95;181450
Murilo;Rodas aro 19";RO;Julho;Pessoa Jurídica;2240;89;199360
Roberto;Rodas aro 20";RJ;Novembro;Pessoa Jurídica;2479;88;218152
Myslaine;Rodas aro 21";RR;Julho;Pessoa Física;3200;88;281600
Katia;Rodas aro 22";PI;Maio;Pessoa Jurídica;3921;88;345048
Vanessa;Rodas aro 13";PE;Maio;Pessoa Física;780;86;67080
Renata;Rodas aro 14";RS;Março;Pessoa Física;980;86;84280
Caio;Rodas aro 15";PE;Março;Pessoa Física;1020;85;86700
Priscila;Rodas aro 16";SC;Fevereiro;Pessoa Jurídica;1340;81;108540
Mirian;Rodas aro 17";AM;Outubro;Pessoa Jurídica;1870;80;149600
Murilo;Rodas aro 18";PE;Abril;Pessoa Jurídica;1910;78;148980
Roberto;Rodas aro 19";PI;Agosto;Pessoa Física;2240;77;172480
Myslaine;Rodas aro 20";AM;Fevereiro;Pessoa Jurídica;2479;77;190883
Katia;Rodas aro 21";RJ;Fevereiro;Pessoa Física;3200;76;243200
Vanessa;Rodas aro 22";GO;Novembro;Pessoa Física;3921;76;297996
Renata;Rodas aro 13";CE;Novembro;Pessoa Física;780;75;58500
Caio;Rodas aro 14";SC;Junho;Pessoa Jurídica;980;74;72520
Priscila;Rodas aro 15";PB;Julho;Pessoa Jurídica;1020;71;72420
Mirian;Rodas aro 16";DF;Agosto;Pessoa Jurídica;1340;70;93800
Murilo;Rodas aro 17";PE;Março;Pessoa Física;1870;68;127160
Roberto;Rodas aro 18";RR;Março;Pessoa Jurídica;1910;68;129880
Myslaine;Rodas aro 19";SE;Maio;Pessoa Física;2240;67;150080
Katia;Rodas aro 20";PE;Maio;Pessoa Física;2479;64;158656
Vanessa;Rodas aro 21";PE;Novembro;Pessoa Física;3200;62;198400
Renata;Rodas aro 22";TO;Março;Pessoa Jurídica;3921;62;243102
Caio;Rodas aro 13";MT;Maio;Pessoa Jurídica;780;59;46020
Priscila;Rodas aro 14";PE;Agosto;Pessoa Jurídica;980;57;55860
Mirian;Rodas aro 15";MT;Abril;Pessoa Física;1020;57;58140
Murilo;Rodas aro 16";BA;Julho;Pessoa Jurídica;1340;55;73700
Roberto;Rodas aro 17";ES;Setembro;Pessoa Física;1870;53;99110
Myslaine;Rodas aro 18";AM;Março;Pessoa Física;1910;48;91680
Katia;Rodas aro 19";BA;Julho;Pessoa Física;2240;48;107520
Vanessa;Rodas aro 20";AM;Fevereiro;Pessoa Jurídica;2479;46;114034
Renata;Rodas aro 21";SP;Janeiro;Pessoa Jurídica;3200;46;147200
Caio;Rodas aro 22";DF;Junho;Pessoa Jurídica;3921;45;176445
Priscila;Rodas aro 13";RN;Junho;Pessoa Física;780;41;31980
Mirian;Rodas aro 14";AL;Julho;Pessoa Jurídica;980;40;39200
Murilo;Rodas aro 15";PB;Junho;Pessoa Física;1020;40;40800
Roberto;Rodas aro 16";AL;Julho;Pessoa Física;1340;40;53600
Myslaine;Rodas aro 17";RO;Maio;Pessoa Física;1870;40;74800
Katia;Rodas aro 18";CE;Abril;Pessoa Jurídica;1910;39;74490
Vanessa;Rodas aro 19";ES;Junho;Pessoa Jurídica;2240;38;85120
Renata;Rodas aro 20";PI;Novembro;Pessoa Jurídica;2479;38;94202
Caio;Rodas aro 21";BA;Abril;Pessoa Física;3200;37;118400
Priscila;Rodas aro 22";CE;Maio;Pessoa Jurídica;3921;35;137235
Mirian;Rodas aro 13";AL;Julho;Pessoa Física;780;34;26520
Murilo;Rodas aro 14";SE;Agosto;Pessoa Física;980;32;31360
Roberto;Rodas aro 15";AM;Maio;Pessoa Física;1020;32;32640
Myslaine;Rodas aro 16";PB;Dezembro;Pessoa Jurídica;1340;32;42880
Katia;Rodas aro 17";RO;Julho;Pessoa Jurídica;1870;32;59840
Vanessa;Rodas aro 18";DF;Março;Pessoa Jurídica;1910;31;59210
Renata;Rodas aro 19";AC;Março;Pessoa Física;2240;30;67200
Caio;Rodas aro 20";MG;Novembro;Pessoa Jurídica;2479;30;74370
Priscila;Rodas aro 21";PA;Junho;Pessoa Física;3200;28;89600
Mirian;Rodas aro 22";SP;Outubro;Pessoa Física;3921;28;109788
Murilo;Rodas aro 13";PI;Novembro;Pessoa Física;780;26;20280
Roberto;Rodas aro 14";PI;Fevereiro;Pessoa Jurídica;980;25;24500
Myslaine;Rodas aro 15";PB;Dezembro;Pessoa Jurídica;1020;24;24480
Katia;Rodas aro 16";RO;Fevereiro;Pessoa Jurídica;1340;23;30820
Vanessa;Rodas aro 17";PB;Março;Pessoa Física;1870;21;39270
Renata;Rodas aro 18";BA;Dezembro;Pessoa Jurídica;1910;21;40110
Caio;Rodas aro 19";PE;Julho;Pessoa Física;2240;19;42560
Priscila;Rodas aro 20";PB;Fevereiro;Pessoa Física;2479;14;34706
Mirian;Rodas aro 21";AP;Fevereiro;Pessoa Física;3200;13;41600
Murilo;Rodas aro 22";MS;Outubro;Pessoa Jurídica;3921;12;47052
Roberto;Rodas aro 13";ES;Julho;Pessoa Jurídica;780;11;8580
Myslaine;Rodas aro 14";SC;Julho;Pessoa Jurídica;980;9;8820
Katia;Rodas aro 15";PR;Janeiro;Pessoa Física;1020;6;6120
Vanessa;Rodas aro 16";PR;Julho;Pessoa Jurídica;1340;4;5360
Renata;Rodas aro 17";AP;Julho;Pessoa Física;1870;4;7480
Caio;Rodas aro 18";TO;Dezembro;Pessoa Física;1910;3;5730
Priscila;Rodas aro 19";RS;Junho;Pessoa Física;2240;3;6720
Mirian;Rodas aro 20";AM;Junho;Pessoa Jurídica;2479;2;4958
Murilo;Rodas aro 21";AC;Setembro;Pessoa Jurídica;3200;2;6400
Roberto;Rodas aro 22";DF;Julho;Pessoa Jurídica;3921;108;423468
Myslaine;Rodas aro 13";DF;Janeiro;Pessoa Física;780;108;84240
Katia;Rodas aro 14";RS;Abril;Pessoa Jurídica;980;107;104860
Vanessa;Rodas aro 15";TO;Março;Pessoa Física;1020;107;109140
Renata;Rodas aro 16";AP;Novembro;Pessoa Física;1340;105;140700
Caio;Rodas aro 17";CE;Fevereiro;Pessoa Física;1870;104;194480
Priscila;Rodas aro 18";AM;Agosto;Pessoa Jurídica;1910;104;198640
Mirian;Rodas aro 19";MT;Abril;Pessoa Jurídica;2240;101;226240
Murilo;Rodas aro 20";MS;Fevereiro;Pessoa Jurídica;2479;100;247900
Roberto;Rodas aro 21";PA;Janeiro;Pessoa Física;3200;100;320000
Myslaine;Rodas aro 22";DF;Dezembro;Pessoa Jurídica;3921;98;384258
Katia;Rodas aro 13";PB;Dezembro;Pessoa Física;780;96;74880
Vanessa;Rodas aro 14";AP;Março;Pessoa Física;980;95;93100
Renata;Rodas aro 15";ES;Março;Pessoa Física;1020;94;95880
Caio;Rodas aro 16";RR;Janeiro;Pessoa Jurídica;1340;94;125960
Priscila;Rodas aro 17";RR;Novembro;Pessoa Jurídica;1870;92;172040
Mirian;Rodas aro 18";DF;Junho;Pessoa Jurídica;1910;92;175720
Murilo;Rodas aro 19";AL;Fevereiro;Pessoa Física;2240;91;203840
Roberto;Rodas aro 20";RJ;Setembro;Pessoa Jurídica;2479;89;220631
Myslaine;Rodas aro 21";RO;Março;Pessoa Física;3200;89;284800
Katia;Rodas aro 22";BA;Outubro;Pessoa Física;3921;89;348969
Vanessa;Rodas aro 13";MA;Fevereiro;Pessoa Física;780;87;67860
Renata;Rodas aro 14";DF;Julho;Pessoa Jurídica;980;87;85260
Caio;Rodas aro 15";MA;Agosto;Pessoa Jurídica;1020;83;84660
Priscila;Rodas aro 16";DF;Agosto;Pessoa Jurídica;1340;82;109880
Mirian;Rodas aro 17";GO;Agosto;Pessoa Física;1870;80;149600
Murilo;Rodas aro 18";RN;Abril;Pessoa Jurídica;1910;79;150890
Roberto;Rodas aro 19";AM;Outubro;Pessoa Física;2240;79;176960
Myslaine;Rodas aro 20";AP;Outubro;Pessoa Física;2479;78;193362
Katia;Rodas aro 21";CE;Novembro;Pessoa Física;3200;76;243200
Vanessa;Rodas aro 22";SP;Setembro;Pessoa Jurídica;3921;75;294075
Renata;Rodas aro 13";PE;Abril;Pessoa Jurídica;780;74;57720
Caio;Rodas aro 14";ES;Março;Pessoa Jurídica;980;73;71540
Priscila;Rodas aro 15";SC;Maio;Pessoa Física;1020;72;73440
Mirian;Rodas aro 16";SP;Março;Pessoa Jurídica;1340;72;96480
Murilo;Rodas aro 17";SP;Março;Pessoa Física;1870;69;129030
Roberto;Rodas aro 18";MG;Outubro;Pessoa Física;1910;66;126060
Myslaine;Rodas aro 19";MT;Maio;Pessoa Física;2240;63;141120
Katia;Rodas aro 20";TO;Março;Pessoa Jurídica;2479;63;156177
Vanessa;Rodas aro 21";ES;Setembro;Pessoa Jurídica;3200;63;201600
Renata;Rodas aro 22";AM;Março;Pessoa Jurídica;3921;62;243102
Caio;Rodas aro 13";ES;Junho;Pessoa Física;780;62;48360
Priscila;Rodas aro 14";AL;Outubro;Pessoa Jurídica;980;62;60760
Mirian;Rodas aro 15";RR;Dezembro;Pessoa Física;1020;62;63240
Murilo;Rodas aro 16";MT;Setembro;Pessoa Física;1340;59;79060
Roberto;Rodas aro 17";PI;Fevereiro;Pessoa Física;1870;56;104720
Myslaine;Rodas aro 18";GO;Julho;Pessoa Jurídica;1910;55;105050
Katia;Rodas aro 19";PI;Dezembro;Pessoa Jurídica;2240;55;123200
Vanessa;Rodas aro 20";ES;Março;Pessoa Jurídica;2479;54;133866
Renata;Rodas aro 21";TO;Setembro;Pessoa Física;3200;54;172800
Caio;Rodas aro 22";PR;Agosto;Pessoa Jurídica;3921;54;211734
Priscila;Rodas aro 13";MG;Maio;Pessoa Física;780;53;41340
Mirian;Rodas aro 14";DF;Junho;Pessoa Física;980;53;51940
Murilo;Rodas aro 15";PE;Março;Pessoa Física;1020;50;51000
Roberto;Rodas aro 16";SP;Novembro;Pessoa Jurídica;1340;50;67000
Myslaine;Rodas aro 17";CE;Março;Pessoa Jurídica;1870;50;93500
Katia;Rodas aro 18";RO;Maio;Pessoa Jurídica;1910;46;87860
Vanessa;Rodas aro 19";MS;Janeiro;Pessoa Física;2240;46;103040
Renata;Rodas aro 20";DF;Dezembro;Pessoa Jurídica;2479;45;111555
Caio;Rodas aro 21";MT;Março;Pessoa Física;3200;44;140800
Priscila;Rodas aro 22";PA;Julho;Pessoa Física;3921;42;164682
Mirian;Rodas aro 13";DF;Setembro;Pessoa Física;780;39;30420
Murilo;Rodas aro 14";MT;Julho;Pessoa Jurídica;980;37;36260
Roberto;Rodas aro 15";PA;Dezembro;Pessoa Jurídica;1020;35;35700
Myslaine;Rodas aro 16";GO;Setembro;Pessoa Jurídica;1340;34;45560
Katia;Rodas aro 17";SE;Novembro;Pessoa Física;1870;34;63580
Vanessa;Rodas aro 18";ES;Julho;Pessoa Jurídica;1910;33;63030
Renata;Rodas aro 19";SC;Agosto;Pessoa Física;2240;32;71680
Caio;Rodas aro 20";MA;Julho;Pessoa Física;2479;32;79328
Priscila;Rodas aro 21";AC;Novembro;Pessoa Física;3200;30;96000
Mirian;Rodas aro 22";DF;Dezembro;Pessoa Jurídica;3921;29;113709
Murilo;Rodas aro 13";TO;Novembro;Pessoa Jurídica;780;28;21840
Roberto;Rodas aro 14";AC;Setembro;Pessoa Jurídica;980;24;23520
Myslaine;Rodas aro 15";MS;Julho;Pessoa Física;1020;24;24480
Katia;Rodas aro 16";RS;Novembro;Pessoa Jurídica;1340;24;32160
Vanessa;Rodas aro 17";GO;Abril;Pessoa Física;1870;23;43010
Renata;Rodas aro 18";RS;Maio;Pessoa Física;1910;22;42020
Caio;Rodas aro 19";MT;Janeiro;Pessoa Física;2240;20;44800
Priscila;Rodas aro 20";MS;Abril;Pessoa Jurídica;2479;19;47101
Mirian;Rodas aro 21";TO;Junho;Pessoa Jurídica;3200;18;57600
Murilo;Rodas aro 22";AP;Maio;Pessoa Jurídica;3921;17;66657
Roberto;Rodas aro 13";GO;Abril;Pessoa Física;780;17;13260
Myslaine;Rodas aro 14";SE;Abril;Pessoa Jurídica;980;15;14700
Katia;Rodas aro 15";DF;Maio;Pessoa Física;1020;14;14280
Vanessa;Rodas aro 16";PB;Maio;Pessoa Física;1340;14;18760
Renata;Rodas aro 17";PE;Abril;Pessoa Física;1870;13;24310
Caio;Rodas aro 18";PR;Novembro;Pessoa Jurídica;1910;13;24830
Priscila;Rodas aro 19";RS;Março;Pessoa Jurídica;2240;8;17920
Mirian;Rodas aro 20";RR;Agosto;Pessoa Jurídica;2479;7;17353
Murilo;Rodas aro 21";DF;Janeiro;Pessoa Física;3200;7;22400
Roberto;Rodas aro 22";RS;Agosto;Pessoa Jurídica;3921;3;11763
Myslaine;Rodas aro 13";RO;Outubro;Pessoa Física;780;2;1560
Katia;Rodas aro 14";PE;Agosto;Pessoa Física;980;1;980
Vanessa;Rodas aro 15";MG;Novembro;Pessoa Física;1020;109;111180
Renata;Rodas aro 16";PE;Junho;Pessoa Jurídica;1340;108;144720
Caio;Rodas aro 17";DF;Novembro;Pessoa Jurídica;1870;106;198220
Priscila;Rodas aro 18";RO;Agosto;Pessoa Jurídica;1910;104;198640
Mirian;Rodas aro 19";ES;Novembro;Pessoa Física;2240;103;230720
Murilo;Rodas aro 20";GO;Junho;Pessoa Jurídica;2479;103;255337
Roberto;Rodas aro 21";PB;Maio;Pessoa Física;3200;101;323200
Myslaine;Rodas aro 22";MA;Abril;Pessoa Física;3921;99;388179
Katia;Rodas aro 13";SC;Março;Pessoa Física;780;98;76440
Vanessa;Rodas aro 14";PR;Outubro;Pessoa Jurídica;980;98;96040
Renata;Rodas aro 15";MS;Dezembro;Pessoa Jurídica;1020;97;98940
Caio;Rodas aro 16";AM;Maio;Pessoa Jurídica;1340;96;128640
Priscila;Rodas aro 17";MG;Setembro;Pessoa Física;1870;95;177650
Mirian;Rodas aro 18";ES;Março;Pessoa Jurídica;1910;95;181450
Murilo;Rodas aro 19";AC;Maio;Pessoa Física;2240;95;212800
Roberto;Rodas aro 20";GO;Outubro;Pessoa Física;2479;93;230547
Myslaine;Rodas aro 21";PI;Outubro;Pessoa Física;3200;92;294400
Katia;Rodas aro 22";SC;Dezembro;Pessoa Jurídica;3921;91;356811
Vanessa;Rodas aro 13";RR;Agosto;Pessoa Jurídica;780;90;70200
Renata;Rodas aro 14";AP;Fevereiro;Pessoa Jurídica;980;89;87220
Caio;Rodas aro 15";RR;Novembro;Pessoa Física;1020;89;90780
Priscila;Rodas aro 16";AL;Novembro;Pessoa Jurídica;1340;84;112560
Mirian;Rodas aro 17";MT;Fevereiro;Pessoa Física;1870;83;155210
Murilo;Rodas aro 18";SP;Junho;Pessoa Física;1910;82;156620
Roberto;Rodas aro 19";RR;Fevereiro;Pessoa Física;2240;82;183680
Myslaine;Rodas aro 20";CE;Agosto;Pessoa Jurídica;2479;80;198320
Katia;Rodas aro 21";SE;Setembro;Pessoa Jurídica;3200;79;252800
Vanessa;Rodas aro 22";ES;Janeiro;Pessoa Jurídica;3921;77;301917
Renata;Rodas aro 13";ES;Julho;Pessoa Física;780;77;60060
Caio;Rodas aro 14";SC;Setembro;Pessoa Jurídica;980;76;74480
Priscila;Rodas aro 15";SP;Julho;Pessoa Física;1020;72;73440
Mirian;Rodas aro 16";RS;Fevereiro;Pessoa Física;1340;72;96480
Murilo;Rodas aro 17";ES;Dezembro;Pessoa Física;1870;71;132770
Roberto;Rodas aro 18";AM;Julho;Pessoa Jurídica;1910;70;133700
Myslaine;Rodas aro 19";RR;Outubro;Pessoa Jurídica;2240;69;154560
Katia;Rodas aro 20";MA;Abril;Pessoa Jurídica;2479;69;171051
Vanessa;Rodas aro 21";RO;Setembro;Pessoa Física;3200;69;220800
Renata;Rodas aro 22";RJ;Novembro;Pessoa Jurídica;3921;69;270549
Caio;Rodas aro 13";AP;Setembro;Pessoa Física;780;67;52260
Priscila;Rodas aro 14";AP;Junho;Pessoa Física;980;66;64680
Mirian;Rodas aro 15";BA;Maio;Pessoa Física;1020;63;64260
Murilo;Rodas aro 16";MA;Fevereiro;Pessoa Jurídica;1340;63;84420
Roberto;Rodas aro 17";GO;Novembro;Pessoa Jurídica;1870;63;117810
Myslaine;Rodas aro 18";DF;Julho;Pessoa Jurídica;1910;61;116510
Katia;Rodas aro 19";PE;Junho;Pessoa Física;2240;58;129920
Vanessa;Rodas aro 20";MS;Junho;Pessoa Jurídica;2479;57;141303
Renata;Rodas aro 21";RR;Agosto;Pessoa Física;3200;57;182400
Caio;Rodas aro 22";PA;Outubro;Pessoa Física;3921;56;219576
Priscila;Rodas aro 13";AP;Outubro;Pessoa Física;780;56;43680
Mirian;Rodas aro 14";CE;Fevereiro;Pessoa Jurídica;980;56;54880
Murilo;Rodas aro 15";RO;Outubro;Pessoa Jurídica;1020;53;54060
Roberto;Rodas aro 16";RR;Abril;Pessoa Jurídica;1340;48;64320
Myslaine;Rodas aro 17";RR;Março;Pessoa Física;1870;48;89760
Katia;Rodas aro 18";RS;Fevereiro;Pessoa Jurídica;1910;47;89770
Vanessa;Rodas aro 19";AP;Abril;Pessoa Física;2240;47;105280
Renata;Rodas aro 20";PI;Dezembro;Pessoa Física;2479;46;114034
Caio;Rodas aro 21";AP;Maio;Pessoa Física;3200;46;147200
Priscila;Rodas aro 22";RS;Fevereiro;Pessoa Jurídica;3921;45;176445
Mirian;Rodas aro 13";PI;Novembro;Pessoa Jurídica;780;44;34320
Murilo;Rodas aro 14";SE;Setembro;Pessoa Jurídica;980;44;43120
Roberto;Rodas aro 15";TO;Novembro;Pessoa Física;1020;44;44880
Myslaine;Rodas aro 16";MS;Setembro;Pessoa Jurídica;1340;44;58960
Katia;Rodas aro 17";SE;Outubro;Pessoa Física;1870;44;82280
Vanessa;Rodas aro 18";RS;Setembro;Pessoa Física;1910;39;74490
Renata;Rodas aro 19";AM;Novembro;Pessoa Física;2240;36;80640
Caio;Rodas aro 20";AP;Junho;Pessoa Jurídica;2479;35;86765
Priscila;Rodas aro 21";AM;Junho;Pessoa Jurídica;3200;35;112000
Mirian;Rodas aro 22";TO;Dezembro;Pessoa Jurídica;3921;34;133314
Murilo;Rodas aro 13";PR;Setembro;Pessoa Física;780;30;23400
Roberto;Rodas aro 14";PB;Fevereiro;Pessoa Jurídica;980;30;29400
Myslaine;Rodas aro 15";MA;Outubro;Pessoa Física;1020;30;30600
Katia;Rodas aro 16";PR;Maio;Pessoa Física;1340;30;40200
Vanessa;Rodas aro 17";RS;Março;Pessoa Física;1870;28;52360
Renata;Rodas aro 18";PI;Maio;Pessoa Jurídica;1910;27;51570
Caio;Rodas aro 19";MS;Julho;Pessoa Jurídica;2240;27;60480
Priscila;Rodas aro 20";PB;Outubro;Pessoa Jurídica;2479;27;66933
Mirian;Rodas aro 21";MA;Dezembro;Pessoa Física;3200;26;83200
Murilo;Rodas aro 22";PB;Outubro;Pessoa Jurídica;3921;24;94104
Roberto;Rodas aro 13";PA;Março;Pessoa Física;780;24;18720
Myslaine;Rodas aro 14";TO;Setembro;Pessoa Física;980;21;20580
Katia;Rodas aro 15";AL;Junho;Pessoa Física;1020;21;21420
Vanessa;Rodas aro 16";MA;Setembro;Pessoa Jurídica;1340;19;25460
Renata;Rodas aro 17";SE;Maio;Pessoa Jurídica;1870;18;33660
Caio;Rodas aro 18";SE;Fevereiro;Pessoa Jurídica;1910;18;34380
Priscila;Rodas aro 19";RR;Setembro;Pessoa Física;2240;17;38080
Mirian;Rodas aro 20";PA;Março;Pessoa Jurídica;2479;16;39664
Murilo;Rodas aro 21";RN;Março;Pessoa Física;3200;14;44800
Roberto;Rodas aro 22";PR;Março;Pessoa Física;3921;12;47052
Myslaine;Rodas aro 13";SP;Novembro;Pessoa Física;780;12;9360
Katia;Rodas aro 14";RS;Agosto;Pessoa Jurídica;980;12;11760
Vanessa;Rodas aro 15";RO;Junho;Pessoa Jurídica;1020;11;11220
Renata;Rodas aro 16";AL;Julho;Pessoa Jurídica;1340;10;13400
Caio;Rodas aro 17";RO;Fevereiro;Pessoa Física;1870;8;14960
Priscila;Rodas aro 18";AC;Dezembro;Pessoa Jurídica;1910;7;13370
Mirian;Rodas aro 19";GO;Agosto;Pessoa Física;2240;6;13440
Murilo;Rodas aro 20";MT;Dezembro;Pessoa Física;2479;6;14874
Roberto;Rodas aro 21";MT;Abril;Pessoa Física;3200;5;16000
Myslaine;Rodas aro 22";TO;Março;Pessoa Jurídica;3921;5;19605
Katia;Rodas aro 13";PR;Outubro;Pessoa Jurídica;780;4;3120
Vanessa;Rodas aro 14";RN;Janeiro;Pessoa Jurídica;980;3;2940
Renata;Rodas aro 15";PR;Junho;Pessoa Física;1020;3;3060
Caio;Rodas aro 16";ES;Outubro;Pessoa Jurídica;1340;2;2680
Priscila;Rodas aro 17";RO;Junho;Pessoa Física;1870;1;1870
Mirian;Rodas aro 18";RJ;Junho;Pessoa Física;1910;108;206280
Murilo;Rodas aro 19";PE;Junho;Pessoa Física;2240;106;237440
Roberto;Rodas aro 20";MS;Abril;Pessoa Jurídica;2479;101;250379
Myslaine;Rodas aro 21";MA;Dezembro;Pessoa Jurídica;3200;100;320000
Katia;Rodas aro 22";GO;Abril;Pessoa Jurídica;3921;99;388179
Vanessa;Rodas aro 13";AP;Setembro;Pessoa Física;780;99;77220
Renata;Rodas aro 14";DF;Novembro;Pessoa Jurídica;980;99;97020
Caio;Rodas aro 15";MA;Dezembro;Pessoa Física;1020;97;98940
Priscila;Rodas aro 16";PA;Julho;Pessoa Física;1340;96;128640
Mirian;Rodas aro 17";PR;Abril;Pessoa Física;1870;95;177650
Murilo;Rodas aro 18";SP;Maio;Pessoa Jurídica;1910;93;177630
Roberto;Rodas aro 19";RO;Julho;Pessoa Jurídica;2240;93;208320
Myslaine;Rodas aro 20";RS;Abril;Pessoa Jurídica;2479;92;228068
Katia;Rodas aro 21";PR;Fevereiro;Pessoa Física;3200;91;291200
Vanessa;Rodas aro 22";SE;Julho;Pessoa Jurídica;3921;90;352890
Renata;Rodas aro 13";RR;Janeiro;Pessoa Física;780;90;70200
Caio;Rodas aro 14";GO;Março;Pessoa Física;980;87;85260
Priscila;Rodas aro 15";RO;Novembro;Pessoa Física;1020;86;87720
Mirian;Rodas aro 16";PR;Novembro;Pessoa Jurídica;1340;85;113900
Murilo;Rodas aro 17";PI;Outubro;Pessoa Jurídica;1870;85;158950
Roberto;Rodas aro 18";RR;Fevereiro;Pessoa Jurídica;1910;84;160440
Myslaine;Rodas aro 19";MT;Abril;Pessoa Física;2240;83;185920
Katia;Rodas aro 20";SC;Março;Pessoa Jurídica;2479;74;183446
Vanessa;Rodas aro 21";RR;Novembro;Pessoa Física;3200;72;230400
Renata;Rodas aro 22";PI;Agosto;Pessoa Física;3921;71;278391
Caio;Rodas aro 13";MS;Novembro;Pessoa Física;780;70;54600
Priscila;Rodas aro 14";SC;Janeiro;Pessoa Jurídica;980;70;68600
Mirian;Rodas aro 15";CE;Outubro;Pessoa Jurídica;1020;67;68340
Murilo;Rodas aro 16";AM;Abril;Pessoa Jurídica;1340;66;88440
Roberto;Rodas aro 17";AL;Maio;Pessoa Física;1870;66;123420
Myslaine;Rodas aro 18";PE;Setembro;Pessoa Jurídica;1910;66;126060
Katia;Rodas aro 19";MT;Setembro;Pessoa Física;2240;66;147840
Vanessa;Rodas aro 20";AL;Janeiro;Pessoa Física;2479;65;161135
Renata;Rodas aro 21";RN;Agosto;Pessoa Física;3200;62;198400
Caio;Rodas aro 22";GO;Março;Pessoa Jurídica;3921;58;227418
Priscila;Rodas aro 13";MT;Agosto;Pessoa Jurídica;780;57;44460
Mirian;Rodas aro 14";PB;Dezembro;Pessoa Jurídica;980;57;55860
Murilo;Rodas aro 15";DF;Janeiro;Pessoa Física;1020;56;57120
Roberto;Rodas aro 16";DF;Julho;Pessoa Jurídica;1340;56;75040
Myslaine;Rodas aro 17";PI;Outubro;Pessoa Física;1870;55;102850
Katia;Rodas aro 18";BA;Maio;Pessoa Física;1910;55;105050
Vanessa;Rodas aro 19";MA;Março;Pessoa Física;2240;53;118720
Renata;Rodas aro 20";RR;Junho;Pessoa Jurídica;2479;53;131387
Caio;Rodas aro 21";PA;Julho;Pessoa Jurídica;3200;52;166400
Priscila;Rodas aro 22";MT;Novembro;Pessoa Jurídica;3921;52;203892
Mirian;Rodas aro 13";AP;Dezembro;Pessoa Física;780;51;39780
Murilo;Rodas aro 14";RN;Julho;Pessoa Jurídica;980;51;49980
Roberto;Rodas aro 15";AM;Fevereiro;Pessoa Física;1020;50;51000
Myslaine;Rodas aro 16";RJ;Dezembro;Pessoa Física;1340;50;67000
Katia;Rodas aro 17";MS;Setembro;Pessoa Física;1870;49;91630
Vanessa;Rodas aro 18";MA;Dezembro;Pessoa Jurídica;1910;47;89770
Renata;Rodas aro 19";RJ;Julho;Pessoa Jurídica;2240;45;100800
Caio;Rodas aro 20";SE;Setembro;Pessoa Jurídica;2479;43;106597
Priscila;Rodas aro 21";AP;Julho;Pessoa Física;3200;43;137600
Mirian;Rodas aro 22";MS;Outubro;Pessoa Jurídica;3921;42;164682
Murilo;Rodas aro 13";RR;Agosto;Pessoa Física;780;36;28080
Roberto;Rodas aro 14";SC;Outubro;Pessoa Física;980;36;35280
Myslaine;Rodas aro 15";MG;Fevereiro;Pessoa Física;1020;36;36720
Katia;Rodas aro 16";CE;Janeiro;Pessoa Jurídica;1340;36;48240
Vanessa;Rodas aro 17";CE;Maio;Pessoa Jurídica;1870;36;67320
Renata;Rodas aro 18";SE;Fevereiro;Pessoa Jurídica;1910;35;66850
Caio;Rodas aro 19";SP;Março;Pessoa Física;2240;33;73920
Priscila;Rodas aro 20";MT;Fevereiro;Pessoa Jurídica;2479;33;81807
Mirian;Rodas aro 21";MS;Setembro;Pessoa Física;3200;32;102400
Murilo;Rodas aro 22";CE;Fevereiro;Pessoa Física;3921;32;125472
